Model,Accuracy,Malicious Count,Benign Count
SVM,0.7029520295202952,5581,381
Random Forest,0.8540758134854076,5599,363
Naive Bayes,0.42905065414290505,5775,187
DNN,0.7343173623085022,5584,378
